buyer,industry_buy,m_cp
Argentina,c1,1
Argentina,c10,1
Argentina,c11,0
Argentina,c12,0
Argentina,c13,0
Argentina,c14,0
Argentina,c15,0
Argentina,c16,0
Argentina,c17,0
Argentina,c18,0
Argentina,c19,1
Argentina,c2,1
Argentina,c20,1
Argentina,c21,1
Argentina,c22,1
Argentina,c23,1
Argentina,c24,0
Argentina,c25,0
Argentina,c26,0
Argentina,c27,1
Argentina,c28,0
Argentina,c29,0
Argentina,c3,1
Argentina,c30,0
Argentina,c31,0
Argentina,c32,1
Argentina,c33,0
Argentina,c34,1
Argentina,c35,1
Argentina,c4,0
Argentina,c5,0
Argentina,c6,0
Argentina,c7,1
Argentina,c8,1
Argentina,c9,1
Armenia,c1,1
Armenia,c10,0
Armenia,c11,0
Armenia,c12,0
Armenia,c13,0
Armenia,c14,0
Armenia,c15,0
Armenia,c16,0
Armenia,c17,0
Armenia,c18,1
Armenia,c19,0
Armenia,c2,1
Armenia,c20,1
Armenia,c21,1
Armenia,c22,1
Armenia,c23,0
Armenia,c24,0
Armenia,c25,0
Armenia,c26,1
Armenia,c27,1
Armenia,c28,1
Armenia,c29,1
Armenia,c3,1
Armenia,c30,0
Armenia,c31,0
Armenia,c32,0
Armenia,c33,1
Armenia,c34,1
Armenia,c35,0
Armenia,c4,0
Armenia,c5,0
Armenia,c6,0
Armenia,c7,0
Armenia,c8,0
Armenia,c9,0
Australia,c1,0
Australia,c10,0
Australia,c11,0
Australia,c12,0
Australia,c13,0
Australia,c14,0
Australia,c15,0
Australia,c16,0
Australia,c17,0
Australia,c18,1
Australia,c19,0
Australia,c2,1
Australia,c20,0
Australia,c21,1
Australia,c22,0
Australia,c23,0
Australia,c24,0
Australia,c25,1
Australia,c26,1
Australia,c27,1
Australia,c28,1
Australia,c29,1
Australia,c3,0
Australia,c30,1
Australia,c31,0
Australia,c32,1
Australia,c33,1
Australia,c34,0
Australia,c35,1
Australia,c4,0
Australia,c5,0
Australia,c6,1
Australia,c7,0
Australia,c8,0
Australia,c9,0
Austria,c1,0
Austria,c10,0
Austria,c11,0
Austria,c12,1
Austria,c13,1
Austria,c14,0
Austria,c15,0
Austria,c16,1
Austria,c17,1
Austria,c18,0
Austria,c19,1
Austria,c2,0
Austria,c20,0
Austria,c21,0
Austria,c22,1
Austria,c23,0
Austria,c24,0
Austria,c25,1
Austria,c26,1
Austria,c27,0
Austria,c28,0
Austria,c29,1
Austria,c3,0
Austria,c30,1
Austria,c31,0
Austria,c32,1
Austria,c33,1
Austria,c34,1
Austria,c35,0
Austria,c4,0
Austria,c5,0
Austria,c6,1
Austria,c7,1
Austria,c8,0
Austria,c9,0
Bangladesh,c1,1
Bangladesh,c10,1
Bangladesh,c11,1
Bangladesh,c12,0
Bangladesh,c13,0
Bangladesh,c14,0
Bangladesh,c15,0
Bangladesh,c16,1
Bangladesh,c17,0
Bangladesh,c18,1
Bangladesh,c19,1
Bangladesh,c2,0
Bangladesh,c20,0
Bangladesh,c21,1
Bangladesh,c22,1
Bangladesh,c23,1
Bangladesh,c24,0
Bangladesh,c25,0
Bangladesh,c26,0
Bangladesh,c27,0
Bangladesh,c28,0
Bangladesh,c29,0
Bangladesh,c3,1
Bangladesh,c30,0
Bangladesh,c31,0
Bangladesh,c32,1
Bangladesh,c33,0
Bangladesh,c34,1
Bangladesh,c35,0
Bangladesh,c4,1
Bangladesh,c5,1
Bangladesh,c6,0
Bangladesh,c7,0
Bangladesh,c8,0
Bangladesh,c9,0
Belgium,c1,0
Belgium,c10,0
Belgium,c11,0
Belgium,c12,0
Belgium,c13,0
Belgium,c14,0
Belgium,c15,0
Belgium,c16,0
Belgium,c17,0
Belgium,c18,1
Belgium,c19,1
Belgium,c2,0
Belgium,c20,1
Belgium,c21,0
Belgium,c22,0
Belgium,c23,0
Belgium,c24,0
Belgium,c25,0
Belgium,c26,1
Belgium,c27,0
Belgium,c28,1
Belgium,c29,0
Belgium,c3,1
Belgium,c30,1
Belgium,c31,0
Belgium,c32,1
Belgium,c33,1
Belgium,c34,1
Belgium,c35,0
Belgium,c4,0
Belgium,c5,0
Belgium,c6,0
Belgium,c7,0
Belgium,c8,1
Belgium,c9,1
Bulgaria,c1,0
Bulgaria,c10,1
Bulgaria,c11,1
Bulgaria,c12,1
Bulgaria,c13,0
Bulgaria,c14,0
Bulgaria,c15,0
Bulgaria,c16,1
Bulgaria,c17,1
Bulgaria,c18,0
Bulgaria,c19,1
Bulgaria,c2,0
Bulgaria,c20,1
Bulgaria,c21,1
Bulgaria,c22,0
Bulgaria,c23,1
Bulgaria,c24,0
Bulgaria,c25,0
Bulgaria,c26,1
Bulgaria,c27,1
Bulgaria,c28,0
Bulgaria,c29,0
Bulgaria,c3,1
Bulgaria,c30,1
Bulgaria,c31,0
Bulgaria,c32,1
Bulgaria,c33,0
Bulgaria,c34,1
Bulgaria,c35,0
Bulgaria,c4,0
Bulgaria,c5,0
Bulgaria,c6,0
Bulgaria,c7,0
Bulgaria,c8,1
Bulgaria,c9,0
Bhutan,c1,1
Bhutan,c10,0
Bhutan,c11,1
Bhutan,c12,0
Bhutan,c13,0
Bhutan,c14,0
Bhutan,c15,0
Bhutan,c16,0
Bhutan,c17,1
Bhutan,c18,1
Bhutan,c19,0
Bhutan,c2,1
Bhutan,c20,0
Bhutan,c21,1
Bhutan,c22,0
Bhutan,c23,1
Bhutan,c24,0
Bhutan,c25,1
Bhutan,c26,0
Bhutan,c27,1
Bhutan,c28,0
Bhutan,c29,0
Bhutan,c3,0
Bhutan,c30,0
Bhutan,c31,1
Bhutan,c32,1
Bhutan,c33,0
Bhutan,c34,0
Bhutan,c35,0
Bhutan,c4,0
Bhutan,c5,0
Bhutan,c6,0
Bhutan,c7,0
Bhutan,c8,0
Bhutan,c9,0
Brazil,c1,1
Brazil,c10,1
Brazil,c11,0
Brazil,c12,0
Brazil,c13,0
Brazil,c14,0
Brazil,c15,0
Brazil,c16,1
Brazil,c17,0
Brazil,c18,0
Brazil,c19,1
Brazil,c2,1
Brazil,c20,0
Brazil,c21,1
Brazil,c22,1
Brazil,c23,1
Brazil,c24,0
Brazil,c25,0
Brazil,c26,0
Brazil,c27,1
Brazil,c28,0
Brazil,c29,0
Brazil,c3,1
Brazil,c30,1
Brazil,c31,0
Brazil,c32,1
Brazil,c33,0
Brazil,c34,0
Brazil,c35,1
Brazil,c4,1
Brazil,c5,1
Brazil,c6,0
Brazil,c7,1
Brazil,c8,1
Brazil,c9,1
Brunei Darussalam,c1,0
Brunei Darussalam,c10,0
Brunei Darussalam,c11,0
Brunei Darussalam,c12,0
Brunei Darussalam,c13,0
Brunei Darussalam,c14,0
Brunei Darussalam,c15,0
Brunei Darussalam,c16,0
Brunei Darussalam,c17,0
Brunei Darussalam,c18,0
Brunei Darussalam,c19,0
Brunei Darussalam,c2,1
Brunei Darussalam,c20,0
Brunei Darussalam,c21,0
Brunei Darussalam,c22,0
Brunei Darussalam,c23,0
Brunei Darussalam,c24,1
Brunei Darussalam,c25,1
Brunei Darussalam,c26,0
Brunei Darussalam,c27,1
Brunei Darussalam,c28,0
Brunei Darussalam,c29,0
Brunei Darussalam,c3,0
Brunei Darussalam,c30,0
Brunei Darussalam,c31,1
Brunei Darussalam,c32,1
Brunei Darussalam,c33,0
Brunei Darussalam,c34,0
Brunei Darussalam,c35,0
Brunei Darussalam,c4,0
Brunei Darussalam,c5,0
Brunei Darussalam,c6,0
Brunei Darussalam,c7,0
Brunei Darussalam,c8,1
Brunei Darussalam,c9,0
Cambodia,c1,1
Cambodia,c10,1
Cambodia,c11,0
Cambodia,c12,1
Cambodia,c13,0
Cambodia,c14,0
Cambodia,c15,0
Cambodia,c16,0
Cambodia,c17,1
Cambodia,c18,1
Cambodia,c19,0
Cambodia,c2,0
Cambodia,c20,1
Cambodia,c21,0
Cambodia,c22,1
Cambodia,c23,1
Cambodia,c24,0
Cambodia,c25,0
Cambodia,c26,0
Cambodia,c27,1
Cambodia,c28,0
Cambodia,c29,0
Cambodia,c3,1
Cambodia,c30,0
Cambodia,c31,0
Cambodia,c32,0
Cambodia,c33,0
Cambodia,c34,0
Cambodia,c35,0
Cambodia,c4,1
Cambodia,c5,0
Cambodia,c6,1
Cambodia,c7,1
Cambodia,c8,0
Cambodia,c9,0
Canada,c1,0
Canada,c10,0
Canada,c11,0
Canada,c12,0
Canada,c13,0
Canada,c14,0
Canada,c15,0
Canada,c16,0
Canada,c17,0
Canada,c18,1
Canada,c19,1
Canada,c2,1
Canada,c20,0
Canada,c21,1
Canada,c22,0
Canada,c23,1
Canada,c24,0
Canada,c25,1
Canada,c26,0
Canada,c27,1
Canada,c28,1
Canada,c29,1
Canada,c3,0
Canada,c30,0
Canada,c31,1
Canada,c32,1
Canada,c33,1
Canada,c34,0
Canada,c35,0
Canada,c4,0
Canada,c5,0
Canada,c6,1
Canada,c7,0
Canada,c8,1
Canada,c9,0
Colombia,c1,1
Colombia,c10,0
Colombia,c11,0
Colombia,c12,0
Colombia,c13,0
Colombia,c14,0
Colombia,c15,0
Colombia,c16,0
Colombia,c17,1
Colombia,c18,0
Colombia,c19,1
Colombia,c2,1
Colombia,c20,1
Colombia,c21,0
Colombia,c22,1
Colombia,c23,1
Colombia,c24,0
Colombia,c25,1
Colombia,c26,0
Colombia,c27,0
Colombia,c28,0
Colombia,c29,0
Colombia,c3,1
Colombia,c30,0
Colombia,c31,1
Colombia,c32,1
Colombia,c33,1
Colombia,c34,1
Colombia,c35,1
Colombia,c4,0
Colombia,c5,0
Colombia,c6,0
Colombia,c7,1
Colombia,c8,1
Colombia,c9,0
Cyprus,c1,0
Cyprus,c10,0
Cyprus,c11,0
Cyprus,c12,0
Cyprus,c13,0
Cyprus,c14,0
Cyprus,c15,0
Cyprus,c16,0
Cyprus,c17,0
Cyprus,c18,1
Cyprus,c19,0
Cyprus,c2,0
Cyprus,c20,0
Cyprus,c21,0
Cyprus,c22,1
Cyprus,c23,0
Cyprus,c24,1
Cyprus,c25,0
Cyprus,c26,1
Cyprus,c27,0
Cyprus,c28,1
Cyprus,c29,0
Cyprus,c3,0
Cyprus,c30,1
Cyprus,c31,0
Cyprus,c32,1
Cyprus,c33,0
Cyprus,c34,0
Cyprus,c35,1
Cyprus,c4,0
Cyprus,c5,0
Cyprus,c6,0
Cyprus,c7,1
Cyprus,c8,0
Cyprus,c9,0
Czech Republic,c1,0
Czech Republic,c10,1
Czech Republic,c11,1
Czech Republic,c12,1
Czech Republic,c13,1
Czech Republic,c14,1
Czech Republic,c15,1
Czech Republic,c16,0
Czech Republic,c17,1
Czech Republic,c18,0
Czech Republic,c19,1
Czech Republic,c2,0
Czech Republic,c20,0
Czech Republic,c21,0
Czech Republic,c22,0
Czech Republic,c23,1
Czech Republic,c24,0
Czech Republic,c25,0
Czech Republic,c26,1
Czech Republic,c27,1
Czech Republic,c28,0
Czech Republic,c29,1
Czech Republic,c3,0
Czech Republic,c30,0
Czech Republic,c31,0
Czech Republic,c32,1
Czech Republic,c33,0
Czech Republic,c34,0
Czech Republic,c35,0
Czech Republic,c4,0
Czech Republic,c5,0
Czech Republic,c6,1
Czech Republic,c7,0
Czech Republic,c8,0
Czech Republic,c9,0
Denmark,c1,0
Denmark,c10,0
Denmark,c11,0
Denmark,c12,0
Denmark,c13,1
Denmark,c14,0
Denmark,c15,0
Denmark,c16,1
Denmark,c17,0
Denmark,c18,0
Denmark,c19,1
Denmark,c2,0
Denmark,c20,1
Denmark,c21,0
Denmark,c22,0
Denmark,c23,0
Denmark,c24,1
Denmark,c25,0
Denmark,c26,1
Denmark,c27,0
Denmark,c28,0
Denmark,c29,1
Denmark,c3,0
Denmark,c30,1
Denmark,c31,0
Denmark,c32,1
Denmark,c33,1
Denmark,c34,1
Denmark,c35,1
Denmark,c4,0
Denmark,c5,0
Denmark,c6,0
Denmark,c7,1
Denmark,c8,0
Denmark,c9,1
Ecuador,c1,1
Ecuador,c10,0
Ecuador,c11,0
Ecuador,c12,0
Ecuador,c13,0
Ecuador,c14,0
Ecuador,c15,0
Ecuador,c16,1
Ecuador,c17,0
Ecuador,c18,1
Ecuador,c19,1
Ecuador,c2,1
Ecuador,c20,0
Ecuador,c21,0
Ecuador,c22,1
Ecuador,c23,1
Ecuador,c24,1
Ecuador,c25,0
Ecuador,c26,1
Ecuador,c27,0
Ecuador,c28,0
Ecuador,c29,0
Ecuador,c3,1
Ecuador,c30,0
Ecuador,c31,0
Ecuador,c32,1
Ecuador,c33,1
Ecuador,c34,0
Ecuador,c35,1
Ecuador,c4,0
Ecuador,c5,0
Ecuador,c6,1
Ecuador,c7,0
Ecuador,c8,1
Ecuador,c9,0
Egypt,c1,1
Egypt,c10,1
Egypt,c11,1
Egypt,c12,0
Egypt,c13,0
Egypt,c14,0
Egypt,c15,0
Egypt,c16,1
Egypt,c17,0
Egypt,c18,1
Egypt,c19,1
Egypt,c2,1
Egypt,c20,0
Egypt,c21,1
Egypt,c22,1
Egypt,c23,0
Egypt,c24,1
Egypt,c25,0
Egypt,c26,0
Egypt,c27,1
Egypt,c28,0
Egypt,c29,0
Egypt,c3,1
Egypt,c30,0
Egypt,c31,0
Egypt,c32,1
Egypt,c33,0
Egypt,c34,0
Egypt,c35,0
Egypt,c4,1
Egypt,c5,0
Egypt,c6,0
Egypt,c7,0
Egypt,c8,1
Egypt,c9,0
Estonia,c1,1
Estonia,c10,0
Estonia,c11,0
Estonia,c12,0
Estonia,c13,0
Estonia,c14,0
Estonia,c15,0
Estonia,c16,1
Estonia,c17,1
Estonia,c18,0
Estonia,c19,1
Estonia,c2,0
Estonia,c20,0
Estonia,c21,0
Estonia,c22,0
Estonia,c23,1
Estonia,c24,1
Estonia,c25,1
Estonia,c26,1
Estonia,c27,0
Estonia,c28,0
Estonia,c29,1
Estonia,c3,0
Estonia,c30,1
Estonia,c31,0
Estonia,c32,1
Estonia,c33,0
Estonia,c34,1
Estonia,c35,0
Estonia,c4,0
Estonia,c5,0
Estonia,c6,1
Estonia,c7,0
Estonia,c8,0
Estonia,c9,0
Fiji,c1,1
Fiji,c10,0
Fiji,c11,0
Fiji,c12,0
Fiji,c13,0
Fiji,c14,0
Fiji,c15,0
Fiji,c16,0
Fiji,c17,0
Fiji,c18,0
Fiji,c19,1
Fiji,c2,0
Fiji,c20,0
Fiji,c21,1
Fiji,c22,1
Fiji,c23,0
Fiji,c24,1
Fiji,c25,1
Fiji,c26,1
Fiji,c27,1
Fiji,c28,1
Fiji,c29,0
Fiji,c3,1
Fiji,c30,0
Fiji,c31,1
Fiji,c32,1
Fiji,c33,0
Fiji,c34,0
Fiji,c35,0
Fiji,c4,0
Fiji,c5,0
Fiji,c6,1
Fiji,c7,0
Fiji,c8,0
Fiji,c9,0
Finland,c1,0
Finland,c10,0
Finland,c11,0
Finland,c12,1
Finland,c13,1
Finland,c14,1
Finland,c15,0
Finland,c16,0
Finland,c17,0
Finland,c18,0
Finland,c19,1
Finland,c2,0
Finland,c20,0
Finland,c21,0
Finland,c22,0
Finland,c23,0
Finland,c24,1
Finland,c25,1
Finland,c26,1
Finland,c27,0
Finland,c28,0
Finland,c29,1
Finland,c3,0
Finland,c30,1
Finland,c31,0
Finland,c32,1
Finland,c33,1
Finland,c34,1
Finland,c35,0
Finland,c4,0
Finland,c5,0
Finland,c6,1
Finland,c7,1
Finland,c8,0
Finland,c9,0
France,c1,0
France,c10,0
France,c11,0
France,c12,0
France,c13,1
France,c14,0
France,c15,1
France,c16,0
France,c17,1
France,c18,0
France,c19,1
France,c2,0
France,c20,1
France,c21,1
France,c22,1
France,c23,0
France,c24,1
France,c25,0
France,c26,1
France,c27,0
France,c28,0
France,c29,1
France,c3,0
France,c30,1
France,c31,0
France,c32,1
France,c33,1
France,c34,1
France,c35,0
France,c4,0
France,c5,0
France,c6,0
France,c7,1
France,c8,0
France,c9,0
Georgia,c1,1
Georgia,c10,0
Georgia,c11,1
Georgia,c12,0
Georgia,c13,0
Georgia,c14,0
Georgia,c15,0
Georgia,c16,0
Georgia,c17,0
Georgia,c18,1
Georgia,c19,1
Georgia,c2,0
Georgia,c20,1
Georgia,c21,1
Georgia,c22,1
Georgia,c23,1
Georgia,c24,0
Georgia,c25,1
Georgia,c26,1
Georgia,c27,1
Georgia,c28,0
Georgia,c29,1
Georgia,c3,1
Georgia,c30,0
Georgia,c31,0
Georgia,c32,1
Georgia,c33,0
Georgia,c34,1
Georgia,c35,0
Georgia,c4,0
Georgia,c5,0
Georgia,c6,0
Georgia,c7,1
Georgia,c8,0
Georgia,c9,0
Germany,c1,0
Germany,c10,1
Germany,c11,0
Germany,c12,1
Germany,c13,1
Germany,c14,0
Germany,c15,1
Germany,c16,0
Germany,c17,0
Germany,c18,0
Germany,c19,1
Germany,c2,0
Germany,c20,0
Germany,c21,0
Germany,c22,0
Germany,c23,0
Germany,c24,1
Germany,c25,0
Germany,c26,1
Germany,c27,1
Germany,c28,0
Germany,c29,1
Germany,c3,0
Germany,c30,1
Germany,c31,0
Germany,c32,1
Germany,c33,1
Germany,c34,1
Germany,c35,1
Germany,c4,0
Germany,c5,0
Germany,c6,1
Germany,c7,1
Germany,c8,0
Germany,c9,1
Greece,c1,1
Greece,c10,0
Greece,c11,0
Greece,c12,0
Greece,c13,0
Greece,c14,0
Greece,c15,0
Greece,c16,0
Greece,c17,1
Greece,c18,0
Greece,c19,1
Greece,c2,0
Greece,c20,1
Greece,c21,0
Greece,c22,1
Greece,c23,0
Greece,c24,1
Greece,c25,1
Greece,c26,1
Greece,c27,1
Greece,c28,0
Greece,c29,1
Greece,c3,1
Greece,c30,0
Greece,c31,1
Greece,c32,1
Greece,c33,0
Greece,c34,1
Greece,c35,1
Greece,c4,0
Greece,c5,0
Greece,c6,0
Greece,c7,0
Greece,c8,1
Greece,c9,0
"Hong Kong, China",c1,0
"Hong Kong, China",c10,0
"Hong Kong, China",c11,0
"Hong Kong, China",c12,0
"Hong Kong, China",c13,0
"Hong Kong, China",c14,0
"Hong Kong, China",c15,0
"Hong Kong, China",c16,0
"Hong Kong, China",c17,0
"Hong Kong, China",c18,0
"Hong Kong, China",c19,0
"Hong Kong, China",c2,0
"Hong Kong, China",c20,1
"Hong Kong, China",c21,0
"Hong Kong, China",c22,0
"Hong Kong, China",c23,0
"Hong Kong, China",c24,1
"Hong Kong, China",c25,1
"Hong Kong, China",c26,0
"Hong Kong, China",c27,1
"Hong Kong, China",c28,1
"Hong Kong, China",c29,1
"Hong Kong, China",c3,0
"Hong Kong, China",c30,0
"Hong Kong, China",c31,1
"Hong Kong, China",c32,0
"Hong Kong, China",c33,0
"Hong Kong, China",c34,0
"Hong Kong, China",c35,0
"Hong Kong, China",c4,0
