buyer,industry_buy,m_cp
Philippines,c9,0
Poland,c1,0
Poland,c10,1
Poland,c11,1
Poland,c12,1
Poland,c13,0
Poland,c14,0
Poland,c15,0
Poland,c16,1
Poland,c17,0
Poland,c18,1
Poland,c19,1
Poland,c2,0
Poland,c20,1
Poland,c21,1
Poland,c22,0
Poland,c23,1
Poland,c24,0
Poland,c25,0
Poland,c26,1
Poland,c27,1
Poland,c28,0
Poland,c29,0
Poland,c3,1
Poland,c30,0
Poland,c31,0
Poland,c32,1
Poland,c33,0
Poland,c34,0
Poland,c35,0
Poland,c4,0
Poland,c5,0
Poland,c6,1
Poland,c7,1
Poland,c8,1
Poland,c9,0
Portugal,c1,0
Portugal,c10,1
Portugal,c11,1
Portugal,c12,0
Portugal,c13,0
Portugal,c14,0
Portugal,c15,1
Portugal,c16,0
Portugal,c17,1
Portugal,c18,0
Portugal,c19,1
Portugal,c2,0
Portugal,c20,0
Portugal,c21,1
Portugal,c22,1
Portugal,c23,0
Portugal,c24,0
Portugal,c25,1
Portugal,c26,1
Portugal,c27,0
Portugal,c28,1
Portugal,c29,1
Portugal,c3,1
Portugal,c30,0
Portugal,c31,0
Portugal,c32,1
Portugal,c33,1
Portugal,c34,1
Portugal,c35,1
Portugal,c4,1
Portugal,c5,1
Portugal,c6,1
Portugal,c7,1
Portugal,c8,1
Portugal,c9,0
China,c1,1
China,c10,1
China,c11,1
China,c12,1
China,c13,1
China,c14,1
China,c15,1
China,c16,1
China,c17,0
China,c18,1
China,c19,0
China,c2,0
China,c20,0
China,c21,0
China,c22,0
China,c23,0
China,c24,0
China,c25,0
China,c26,0
China,c27,1
China,c28,0
China,c29,0
China,c3,1
China,c30,0
China,c31,0
China,c32,1
China,c33,0
China,c34,0
China,c35,0
China,c4,1
China,c5,1
China,c6,1
China,c7,1
China,c8,0
China,c9,1
Romania,c1,1
Romania,c10,1
Romania,c11,0
Romania,c12,0
Romania,c13,0
Romania,c14,0
Romania,c15,1
Romania,c16,0
Romania,c17,1
Romania,c18,1
Romania,c19,1
Romania,c2,0
Romania,c20,1
Romania,c21,1
Romania,c22,0
Romania,c23,1
Romania,c24,0
Romania,c25,0
Romania,c26,1
Romania,c27,0
Romania,c28,0
Romania,c29,0
Romania,c3,1
Romania,c30,1
Romania,c31,0
Romania,c32,0
Romania,c33,1
Romania,c34,1
Romania,c35,0
Romania,c4,0
Romania,c5,0
Romania,c6,1
Romania,c7,0
Romania,c8,0
Romania,c9,0
Russia,c1,0
Russia,c10,0
Russia,c11,0
Russia,c12,1
Russia,c13,0
Russia,c14,0
Russia,c15,0
Russia,c16,0
Russia,c17,1
Russia,c18,0
Russia,c19,1
Russia,c2,1
Russia,c20,1
Russia,c21,1
Russia,c22,0
Russia,c23,1
Russia,c24,0
Russia,c25,1
Russia,c26,1
Russia,c27,0
Russia,c28,0
Russia,c29,1
Russia,c3,1
Russia,c30,0
Russia,c31,1
Russia,c32,0
Russia,c33,0
Russia,c34,0
Russia,c35,1
Russia,c4,0
Russia,c5,0
Russia,c6,0
Russia,c7,0
Russia,c8,1
Russia,c9,0
Rest of the World,c1,1
Rest of the World,c10,1
Rest of the World,c11,1
Rest of the World,c12,1
Rest of the World,c13,0
Rest of the World,c14,0
Rest of the World,c15,0
Rest of the World,c16,0
Rest of the World,c17,1
Rest of the World,c18,1
Rest of the World,c19,0
Rest of the World,c2,1
Rest of the World,c20,0
Rest of the World,c21,0
Rest of the World,c22,0
Rest of the World,c23,1
Rest of the World,c24,1
Rest of the World,c25,0
Rest of the World,c26,0
Rest of the World,c27,0
Rest of the World,c28,0
Rest of the World,c29,0
Rest of the World,c3,0
Rest of the World,c30,0
Rest of the World,c31,0
Rest of the World,c32,1
Rest of the World,c33,0
Rest of the World,c34,0
Rest of the World,c35,0
Rest of the World,c4,1
Rest of the World,c5,1
Rest of the World,c6,1
Rest of the World,c7,0
Rest of the World,c8,1
Rest of the World,c9,1
Saudi Arabia,c1,0
Saudi Arabia,c10,0
Saudi Arabia,c11,0
Saudi Arabia,c12,0
Saudi Arabia,c13,0
Saudi Arabia,c14,0
Saudi Arabia,c15,0
Saudi Arabia,c16,0
Saudi Arabia,c17,0
Saudi Arabia,c18,1
Saudi Arabia,c19,1
Saudi Arabia,c2,1
Saudi Arabia,c20,1
Saudi Arabia,c21,1
Saudi Arabia,c22,0
Saudi Arabia,c23,0
Saudi Arabia,c24,0
Saudi Arabia,c25,0
Saudi Arabia,c26,0
Saudi Arabia,c27,1
Saudi Arabia,c28,0
Saudi Arabia,c29,0
Saudi Arabia,c3,0
Saudi Arabia,c30,0
Saudi Arabia,c31,1
Saudi Arabia,c32,1
Saudi Arabia,c33,0
Saudi Arabia,c34,0
Saudi Arabia,c35,1
Saudi Arabia,c4,0
Saudi Arabia,c5,0
Saudi Arabia,c6,0
Saudi Arabia,c7,0
Saudi Arabia,c8,1
Saudi Arabia,c9,1
Singapore,c1,0
Singapore,c10,0
Singapore,c11,0
Singapore,c12,0
Singapore,c13,0
Singapore,c14,1
Singapore,c15,0
Singapore,c16,0
Singapore,c17,0
Singapore,c18,0
Singapore,c19,0
Singapore,c2,0
Singapore,c20,1
Singapore,c21,0
Singapore,c22,0
Singapore,c23,0
Singapore,c24,1
Singapore,c25,0
Singapore,c26,1
Singapore,c27,0
Singapore,c28,1
Singapore,c29,0
Singapore,c3,0
Singapore,c30,1
Singapore,c31,0
Singapore,c32,0
Singapore,c33,0
Singapore,c34,0
Singapore,c35,1
Singapore,c4,0
Singapore,c5,0
Singapore,c6,0
Singapore,c7,0
Singapore,c8,1
Singapore,c9,0
Spain,c1,0
Spain,c10,0
Spain,c11,0
Spain,c12,0
Spain,c13,0
Spain,c14,0
Spain,c15,0
Spain,c16,0
Spain,c17,0
Spain,c18,0
Spain,c19,1
Spain,c2,0
Spain,c20,1
Spain,c21,1
Spain,c22,1
Spain,c23,1
Spain,c24,0
Spain,c25,1
Spain,c26,1
Spain,c27,0
Spain,c28,0
Spain,c29,1
Spain,c3,1
Spain,c30,0
Spain,c31,0
Spain,c32,1
Spain,c33,1
Spain,c34,1
Spain,c35,1
Spain,c4,0
Spain,c5,0
Spain,c6,0
Spain,c7,1
Spain,c8,1
Spain,c9,0
Sri Lanka,c1,1
Sri Lanka,c10,0
Sri Lanka,c11,1
Sri Lanka,c12,0
Sri Lanka,c13,0
Sri Lanka,c14,0
Sri Lanka,c15,0
Sri Lanka,c16,1
Sri Lanka,c17,0
Sri Lanka,c18,0
Sri Lanka,c19,0
Sri Lanka,c2,0
Sri Lanka,c20,1
Sri Lanka,c21,1
Sri Lanka,c22,0
Sri Lanka,c23,1
Sri Lanka,c24,0
Sri Lanka,c25,1
Sri Lanka,c26,0
Sri Lanka,c27,0
Sri Lanka,c28,1
Sri Lanka,c29,0
Sri Lanka,c3,1
Sri Lanka,c30,0
Sri Lanka,c31,0
Sri Lanka,c32,0
Sri Lanka,c33,0
Sri Lanka,c34,1
Sri Lanka,c35,0
Sri Lanka,c4,1
Sri Lanka,c5,0
Sri Lanka,c6,0
Sri Lanka,c7,0
Sri Lanka,c8,0
Sri Lanka,c9,0
Slovak Republic,c1,0
Slovak Republic,c10,1
Slovak Republic,c11,0
Slovak Republic,c12,1
Slovak Republic,c13,1
Slovak Republic,c14,0
Slovak Republic,c15,1
Slovak Republic,c16,0
Slovak Republic,c17,1
Slovak Republic,c18,1
Slovak Republic,c19,1
Slovak Republic,c2,0
Slovak Republic,c20,0
Slovak Republic,c21,1
Slovak Republic,c22,0
Slovak Republic,c23,1
Slovak Republic,c24,0
Slovak Republic,c25,0
Slovak Republic,c26,1
Slovak Republic,c27,0
Slovak Republic,c28,0
Slovak Republic,c29,1
Slovak Republic,c3,0
Slovak Republic,c30,1
Slovak Republic,c31,0
Slovak Republic,c32,0
Slovak Republic,c33,0
Slovak Republic,c34,1
Slovak Republic,c35,0
Slovak Republic,c4,0
Slovak Republic,c5,0
Slovak Republic,c6,1
Slovak Republic,c7,1
Slovak Republic,c8,1
Slovak Republic,c9,0
Slovenia,c1,0
Slovenia,c10,1
Slovenia,c11,0
Slovenia,c12,1
Slovenia,c13,1
Slovenia,c14,1
Slovenia,c15,0
Slovenia,c16,1
Slovenia,c17,0
Slovenia,c18,1
Slovenia,c19,1
Slovenia,c2,0
Slovenia,c20,0
Slovenia,c21,1
Slovenia,c22,0
Slovenia,c23,1
Slovenia,c24,0
Slovenia,c25,0
Slovenia,c26,1
Slovenia,c27,0
Slovenia,c28,0
Slovenia,c29,0
Slovenia,c3,0
Slovenia,c30,1
Slovenia,c31,0
Slovenia,c32,1
Slovenia,c33,0
Slovenia,c34,1
Slovenia,c35,0
Slovenia,c4,0
Slovenia,c5,0
Slovenia,c6,1
Slovenia,c7,1
Slovenia,c8,0
Slovenia,c9,1
Sweden,c1,0
Sweden,c10,0
Sweden,c11,0
Sweden,c12,0
Sweden,c13,1
Sweden,c14,0
Sweden,c15,1
Sweden,c16,0
Sweden,c17,0
Sweden,c18,0
Sweden,c19,1
Sweden,c2,0
Sweden,c20,1
Sweden,c21,0
Sweden,c22,0
Sweden,c23,0
Sweden,c24,0
Sweden,c25,0
Sweden,c26,1
Sweden,c27,0
Sweden,c28,0
Sweden,c29,1
Sweden,c3,0
Sweden,c30,1
Sweden,c31,0
Sweden,c32,1
Sweden,c33,1
Sweden,c34,1
Sweden,c35,0
Sweden,c4,0
Sweden,c5,0
Sweden,c6,1
Sweden,c7,1
Sweden,c8,1
Sweden,c9,1
Switzerland,c1,0
Switzerland,c10,0
Switzerland,c11,0
Switzerland,c12,0
Switzerland,c13,0
Switzerland,c14,1
Switzerland,c15,0
Switzerland,c16,0
Switzerland,c17,1
Switzerland,c18,0
Switzerland,c19,0
Switzerland,c2,0
Switzerland,c20,1
Switzerland,c21,0
Switzerland,c22,0
Switzerland,c23,0
Switzerland,c24,0
Switzerland,c25,0
Switzerland,c26,1
Switzerland,c27,0
Switzerland,c28,1
Switzerland,c29,0
Switzerland,c3,0
Switzerland,c30,1
Switzerland,c31,1
Switzerland,c32,0
Switzerland,c33,1
Switzerland,c34,1
Switzerland,c35,1
Switzerland,c4,0
Switzerland,c5,0
Switzerland,c6,1
Switzerland,c7,0
Switzerland,c8,0
Switzerland,c9,1
Tajikistan,c1,1
Tajikistan,c10,0
Tajikistan,c11,1
Tajikistan,c12,1
Tajikistan,c13,0
Tajikistan,c14,0
Tajikistan,c15,0
Tajikistan,c16,0
Tajikistan,c17,0
Tajikistan,c18,1
Tajikistan,c19,0
Tajikistan,c2,1
Tajikistan,c20,0
Tajikistan,c21,1
Tajikistan,c22,1
Tajikistan,c23,1
Tajikistan,c24,0
Tajikistan,c25,1
Tajikistan,c26,0
Tajikistan,c27,1
Tajikistan,c28,0
Tajikistan,c29,0
Tajikistan,c3,1
Tajikistan,c30,0
Tajikistan,c31,0
Tajikistan,c32,1
Tajikistan,c33,0
Tajikistan,c34,0
Tajikistan,c35,1
Tajikistan,c4,1
Tajikistan,c5,0
Tajikistan,c6,0
Tajikistan,c7,0
Tajikistan,c8,0
Tajikistan,c9,0
"Taipei, China",c1,0
"Taipei, China",c10,1
"Taipei, China",c11,0
"Taipei, China",c12,1
"Taipei, China",c13,1
"Taipei, China",c14,1
"Taipei, China",c15,0
"Taipei, China",c16,0
"Taipei, China",c17,0
"Taipei, China",c18,0
"Taipei, China",c19,0
"Taipei, China",c2,0
"Taipei, China",c20,1
"Taipei, China",c21,1
"Taipei, China",c22,1
"Taipei, China",c23,0
"Taipei, China",c24,1
"Taipei, China",c25,1
"Taipei, China",c26,0
"Taipei, China",c27,0
"Taipei, China",c28,0
"Taipei, China",c29,0
"Taipei, China",c3,0
"Taipei, China",c30,0
"Taipei, China",c31,0
"Taipei, China",c32,0
"Taipei, China",c33,0
"Taipei, China",c34,0
"Taipei, China",c35,1
"Taipei, China",c4,0
"Taipei, China",c5,0
"Taipei, China",c6,0
"Taipei, China",c7,0
"Taipei, China",c8,1
"Taipei, China",c9,1
Thailand,c1,1
Thailand,c10,1
Thailand,c11,1
Thailand,c12,1
Thailand,c13,0
Thailand,c14,0
Thailand,c15,1
Thailand,c16,1
Thailand,c17,1
Thailand,c18,0
Thailand,c19,0
Thailand,c2,0
Thailand,c20,1
Thailand,c21,1
Thailand,c22,1
Thailand,c23,0
Thailand,c24,0
Thailand,c25,0
Thailand,c26,0
Thailand,c27,0
Thailand,c28,0
Thailand,c29,0
Thailand,c3,1
Thailand,c30,0
Thailand,c31,0
Thailand,c32,1
Thailand,c33,0
Thailand,c34,0
Thailand,c35,0
Thailand,c4,0
Thailand,c5,1
Thailand,c6,0
Thailand,c7,0
Thailand,c8,1
Thailand,c9,0
Turkiye,c1,1
Turkiye,c10,1
Turkiye,c11,1
Turkiye,c12,1
Turkiye,c13,1
Turkiye,c14,0
Turkiye,c15,1
Turkiye,c16,1
Turkiye,c17,1
Turkiye,c18,1
Turkiye,c19,1
Turkiye,c2,0
Turkiye,c20,0
Turkiye,c21,1
Turkiye,c22,1
Turkiye,c23,1
Turkiye,c24,1
Turkiye,c25,1
Turkiye,c26,1
Turkiye,c27,0
Turkiye,c28,0
Turkiye,c29,0
Turkiye,c3,1
Turkiye,c30,0
Turkiye,c31,0
Turkiye,c32,1
Turkiye,c33,0
Turkiye,c34,0
Turkiye,c35,0
Turkiye,c4,1
Turkiye,c5,0
Turkiye,c6,0
Turkiye,c7,1
Turkiye,c8,0
Turkiye,c9,0
United Arab Emirates,c1,0
United Arab Emirates,c10,0
United Arab Emirates,c11,1
United Arab Emirates,c12,1
United Arab Emirates,c13,0
United Arab Emirates,c14,0
United Arab Emirates,c15,0
United Arab Emirates,c16,0
United Arab Emirates,c17,1
United Arab Emirates,c18,1
United Arab Emirates,c19,1
United Arab Emirates,c2,1
United Arab Emirates,c20,0
United Arab Emirates,c21,1
United Arab Emirates,c22,1
United Arab Emirates,c23,0
United Arab Emirates,c24,0
United Arab Emirates,c25,1
United Arab Emirates,c26,0
United Arab Emirates,c27,0
United Arab Emirates,c28,1
United Arab Emirates,c29,0
United Arab Emirates,c3,0
United Arab Emirates,c30,0
United Arab Emirates,c31,0
United Arab Emirates,c32,0
United Arab Emirates,c33,0
United Arab Emirates,c34,0
United Arab Emirates,c35,1
United Arab Emirates,c4,0
United Arab Emirates,c5,0
United Arab Emirates,c6,0
United Arab Emirates,c7,0
United Arab Emirates,c8,1
United Arab Emirates,c9,0
United Kingdom,c1,0
United Kingdom,c10,0
United Kingdom,c11,0
United Kingdom,c12,0
United Kingdom,c13,0
United Kingdom,c14,0
United Kingdom,c15,0
United Kingdom,c16,0
United Kingdom,c17,1
United Kingdom,c18,1
United Kingdom,c19,1
United Kingdom,c2,0
United Kingdom,c20,0
United Kingdom,c21,1
United Kingdom,c22,1
United Kingdom,c23,0
United Kingdom,c24,0
United Kingdom,c25,0
United Kingdom,c26,1
United Kingdom,c27,1
United Kingdom,c28,1
United Kingdom,c29,1
United Kingdom,c3,0
United Kingdom,c30,1
United Kingdom,c31,0
United Kingdom,c32,1
United Kingdom,c33,1
United Kingdom,c34,1
United Kingdom,c35,0
United Kingdom,c4,0
United Kingdom,c5,0
United Kingdom,c6,0
United Kingdom,c7,0
United Kingdom,c8,0
United Kingdom,c9,0
United States,c1,0
United States,c10,0
United States,c11,0
United States,c12,0
United States,c13,0
United States,c14,0
United States,c15,0
United States,c16,0
United States,c17,0
United States,c18,0
United States,c19,1
United States,c2,0
United States,c20,1
United States,c21,1
United States,c22,1
United States,c23,0
United States,c24,0
United States,c25,1
United States,c26,0
United States,c27,0
United States,c28,1
United States,c29,1
United States,c3,0
United States,c30,1
United States,c31,1
United States,c32,0
United States,c33,1
United States,c34,1
United States,c35,0
United States,c4,0
United States,c5,0
United States,c6,0
United States,c7,0
United States,c8,0
United States,c9,0
Uzbekistan,c1,1
Uzbekistan,c10,0
Uzbekistan,c11,1
Uzbekistan,c12,1
Uzbekistan,c13,0
Uzbekistan,c14,0
Uzbekistan,c15,1
Uzbekistan,c16,0
Uzbekistan,c17,0
Uzbekistan,c18,1
Uzbekistan,c19,0
Uzbekistan,c2,0
Uzbekistan,c20,0
Uzbekistan,c21,1
Uzbekistan,c22,1
Uzbekistan,c23,1
Uzbekistan,c24,0
Uzbekistan,c25,1
Uzbekistan,c26,0
Uzbekistan,c27,0
Uzbekistan,c28,0
Uzbekistan,c29,0
Uzbekistan,c3,1
Uzbekistan,c30,0
Uzbekistan,c31,0
Uzbekistan,c32,1
Uzbekistan,c33,0
Uzbekistan,c34,0
Uzbekistan,c35,0
Uzbekistan,c4,1
Uzbekistan,c5,0
Uzbekistan,c6,0
Uzbekistan,c7,0
Uzbekistan,c8,0
Uzbekistan,c9,0
Viet Nam,c1,1
Viet Nam,c10,1
Viet Nam,c11,1
Viet Nam,c12,1
Viet Nam,c13,0
Viet Nam,c14,1
Viet Nam,c15,0
Viet Nam,c16,1
Viet Nam,c17,0
Viet Nam,c18,1
Viet Nam,c19,0
Viet Nam,c2,0
Viet Nam,c20,0
Viet Nam,c21,0
Viet Nam,c22,0
Viet Nam,c23,0
Viet Nam,c24,0
Viet Nam,c25,0
Viet Nam,c26,1
Viet Nam,c27,1
Viet Nam,c28,0
Viet Nam,c29,0
Viet Nam,c3,1
Viet Nam,c30,0
Viet Nam,c31,0
Viet Nam,c32,0
Viet Nam,c33,0
Viet Nam,c34,0
Viet Nam,c35,0
Viet Nam,c4,1
Viet Nam,c5,1
Viet Nam,c6,1
Viet Nam,c7,1
Viet Nam,c8,0
Viet Nam,c9,0
